epsilon2	better_prob	prob_branch	mean_resolved	mean_closed_nn	mean_closed_nnHybrid	mean_closed_1Tree	mean_closed_subgradient	mean_total_time	mean_time_bb	mean_time_to_best	mean_bbnodes_before_best	mean_fixed_edges	mean_total_tree_level	mean_generate_bbnodes	mean_explored_bbnodes	mean_best_level	mean_prob_best	mean_best_value	mean_mandatory_edges	mean_forbidden_edges
0.1	0.1	0.5	100.0	2.0	90.0	0.0	8.0	0.011603949069976806	0.00106555	4.0499999999999995e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.1	0.6	100.0	2.0	90.0	0.0	8.0	0.011764514446258544	0.0010842699999999998	4.464e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.1	0.7	100.0	2.0	90.0	0.0	8.0	0.011647288799285888	0.00107295	4.196e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.1	0.8	100.0	2.0	90.0	0.0	8.0	0.011890330314636231	0.0010937800000000004	4.608e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.1	0.9	100.0	2.0	90.0	0.0	8.0	0.011689629554748535	0.0010960700000000004	5.4250000000000004e-05	0.14	88.14	1.23	2.74	2.17	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.2	0.5	100.0	2.0	90.0	0.0	8.0	0.011653404235839843	0.0010757199999999998	3.997e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.2	0.6	100.0	2.0	90.0	0.0	8.0	0.011781790256500245	0.0010576399999999994	4.3750000000000006e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.2	0.7	100.0	2.0	90.0	0.0	8.0	0.011602792739868164	0.0010953800000000006	4.102999999999999e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.2	0.8	100.0	2.0	90.0	0.0	8.0	0.011584553718566894	0.0010719099999999995	4.632e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.2	0.9	100.0	2.0	90.0	0.0	8.0	0.011724505424499512	0.0010798499999999994	4.868000000000001e-05	0.14	88.14	1.23	2.74	2.17	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.3	0.5	100.0	2.0	90.0	0.0	8.0	0.01153106451034546	0.0010539399999999997	4.115e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.3	0.6	100.0	2.0	90.0	0.0	8.0	0.011571180820465089	0.00105795	4.282999999999999e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.3	0.7	100.0	2.0	90.0	0.0	8.0	0.011595628261566161	0.00106856	4.137e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.3	0.8	100.0	2.0	90.0	0.0	8.0	0.011535267829895019	0.00106787	4.475e-05	0.13	87.81	1.22	2.7	2.13	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
0.1	0.3	0.9	100.0	2.0	90.0	0.0	8.0	0.011617605686187743	0.0010822300000000002	4.863000000000001e-05	0.14	88.14	1.23	2.74	2.17	0.12	0.9775590899999999	3.806726020000001	0.25	5.82
