n=26;
Cost=[[0.0, 83.0, 93.0, 129.0, 133.0, 139.0, 151.0, 169.0, 135.0, 114.0, 110.0, 98.0, 99.0, 95.0, 81.0, 152.0, 159.0, 181.0, 172.0, 185.0, 147.0, 157.0, 185.0, 220.0, 127.0, 181.0, ]
[83.0, 0.0, 40.0, 53.0, 62.0, 64.0, 91.0, 116.0, 93.0, 84.0, 95.0, 98.0, 89.0, 68.0, 67.0, 127.0, 156.0, 175.0, 152.0, 165.0, 160.0, 180.0, 223.0, 268.0, 179.0, 197.0, ]
[93.0, 40.0, 0.0, 42.0, 42.0, 49.0, 59.0, 81.0, 54.0, 44.0, 58.0, 64.0, 54.0, 31.0, 36.0, 86.0, 117.0, 135.0, 112.0, 125.0, 124.0, 147.0, 193.0, 241.0, 157.0, 161.0, ]
[129.0, 53.0, 42.0, 0.0, 11.0, 11.0, 46.0, 72.0, 65.0, 70.0, 88.0, 100.0, 89.0, 66.0, 76.0, 102.0, 142.0, 156.0, 127.0, 139.0, 155.0, 180.0, 228.0, 278.0, 197.0, 190.0, ]
[133.0, 62.0, 42.0, 11.0, 0.0, 9.0, 35.0, 61.0, 55.0, 62.0, 82.0, 95.0, 84.0, 62.0, 74.0, 93.0, 133.0, 146.0, 117.0, 128.0, 148.0, 173.0, 222.0, 272.0, 194.0, 182.0, ]
[139.0, 64.0, 49.0, 11.0, 9.0, 0.0, 39.0, 65.0, 63.0, 71.0, 90.0, 103.0, 92.0, 71.0, 82.0, 100.0, 141.0, 153.0, 124.0, 135.0, 156.0, 181.0, 230.0, 280.0, 202.0, 190.0, ]
[151.0, 91.0, 59.0, 46.0, 35.0, 39.0, 0.0, 26.0, 34.0, 52.0, 71.0, 88.0, 77.0, 63.0, 78.0, 66.0, 110.0, 119.0, 88.0, 98.0, 130.0, 156.0, 206.0, 257.0, 188.0, 160.0, ]
[169.0, 116.0, 81.0, 72.0, 61.0, 65.0, 26.0, 0.0, 37.0, 59.0, 75.0, 92.0, 83.0, 76.0, 91.0, 54.0, 98.0, 103.0, 70.0, 78.0, 122.0, 148.0, 198.0, 250.0, 188.0, 148.0, ]
[135.0, 93.0, 54.0, 65.0, 55.0, 63.0, 34.0, 37.0, 0.0, 22.0, 39.0, 56.0, 47.0, 40.0, 55.0, 37.0, 78.0, 91.0, 62.0, 74.0, 96.0, 122.0, 172.0, 223.0, 155.0, 128.0, ]
[114.0, 84.0, 44.0, 70.0, 62.0, 71.0, 52.0, 59.0, 22.0, 0.0, 20.0, 36.0, 26.0, 20.0, 34.0, 43.0, 74.0, 91.0, 68.0, 82.0, 86.0, 111.0, 160.0, 210.0, 136.0, 121.0, ]
