n=29;
Cost=[[0.0, 107.0, 241.0, 190.0, 124.0, 80.0, 316.0, 76.0, 152.0, 157.0, 283.0, 133.0, 113.0, 297.0, 228.0, 129.0, 348.0, 276.0, 188.0, 150.0, 65.0, 341.0, 184.0, 67.0, 221.0, 169.0, 108.0, 45.0, 167.0, ]
[107.0, 0.0, 148.0, 137.0, 88.0, 127.0, 336.0, 183.0, 134.0, 95.0, 254.0, 180.0, 101.0, 234.0, 175.0, 176.0, 265.0, 199.0, 182.0, 67.0, 42.0, 278.0, 271.0, 146.0, 251.0, 105.0, 191.0, 139.0, 79.0, ]
[241.0, 148.0, 0.0, 374.0, 171.0, 259.0, 509.0, 317.0, 217.0, 232.0, 491.0, 312.0, 280.0, 391.0, 412.0, 349.0, 422.0, 356.0, 355.0, 204.0, 182.0, 435.0, 417.0, 292.0, 424.0, 116.0, 337.0, 273.0, 77.0, ]
[190.0, 137.0, 374.0, 0.0, 202.0, 234.0, 222.0, 192.0, 248.0, 42.0, 117.0, 287.0, 79.0, 107.0, 38.0, 121.0, 152.0, 86.0, 68.0, 70.0, 137.0, 151.0, 239.0, 135.0, 137.0, 242.0, 165.0, 228.0, 205.0, ]
[124.0, 88.0, 171.0, 202.0, 0.0, 61.0, 392.0, 202.0, 46.0, 160.0, 319.0, 112.0, 163.0, 322.0, 240.0, 232.0, 314.0, 287.0, 238.0, 155.0, 65.0, 366.0, 300.0, 175.0, 307.0, 57.0, 220.0, 121.0, 97.0, ]
[80.0, 127.0, 259.0, 234.0, 61.0, 0.0, 386.0, 141.0, 72.0, 167.0, 351.0, 55.0, 157.0, 331.0, 272.0, 226.0, 362.0, 296.0, 232.0, 164.0, 85.0, 375.0, 249.0, 147.0, 301.0, 118.0, 188.0, 60.0, 185.0, ]
[316.0, 336.0, 509.0, 222.0, 392.0, 386.0, 0.0, 233.0, 438.0, 254.0, 202.0, 439.0, 235.0, 254.0, 210.0, 187.0, 313.0, 266.0, 154.0, 282.0, 321.0, 298.0, 168.0, 249.0, 95.0, 437.0, 190.0, 314.0, 435.0, ]
[76.0, 183.0, 317.0, 192.0, 202.0, 141.0, 233.0, 0.0, 213.0, 188.0, 272.0, 193.0, 131.0, 302.0, 233.0, 98.0, 344.0, 289.0, 177.0, 216.0, 141.0, 346.0, 108.0, 57.0, 190.0, 245.0, 43.0, 81.0, 243.0, ]
[152.0, 134.0, 217.0, 248.0, 46.0, 72.0, 438.0, 213.0, 0.0, 206.0, 365.0, 89.0, 209.0, 368.0, 286.0, 278.0, 360.0, 333.0, 284.0, 201.0, 111.0, 412.0, 321.0, 221.0, 353.0, 72.0, 266.0, 132.0, 111.0, ]
[157.0, 95.0, 232.0, 42.0, 160.0, 167.0, 254.0, 188.0, 206.0, 0.0, 159.0, 220.0, 57.0, 149.0, 80.0, 132.0, 193.0, 127.0, 100.0, 28.0, 95.0, 193.0, 241.0, 131.0, 169.0, 200.0, 161.0, 189.0, 163.0, ]
